"SampleID","leaf_code","tree","cohort","leaf","obs_date","date","Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","RMSE","Vcmax_QC","Jmax_QC","Vcmax_Estimate_tpu","Jmax_Estimate_tpu","Rd_Estimate_tpu","TPU_Estimate","Vcmax_Std.Error_tpu","Jmax_Std.Error_tpu","Rd_Std.Error_tpu","TPU_Std.Error","RMSE_tpu","TPU_improved_vcmax","TPU_improved_rmse","TPU_created_spuriousjmax","TPU_improved_both","useTPU","Vcmax_Estimate_final","Jmax_Estimate_final","Rd_Estimate_final","TPU_Estimate_final","Vcmax_Std.Error_final","Jmax_Std.Error_final","Rd_Std.Error_final","TPU_Std.Error_final","RMSE_final"
"16.1.3_20221014","16.1.3","16","1","3","20221014",2022-10-14,20.2292483364169,76.5874560349399,0.361276595817595,0.235882351103984,NA,0.0504668501771479,7.74161415288755,"good","good",20.2292483364169,77.7747027776719,0.361276595817595,6.08362043279104,0.235882351103984,NA,0.0504668501771479,NA,8.14283114665873,0,0,0,0,0,20.2292483364169,76.5874560349399,0.361276595817595,NA,0.235882351103984,NA,0.0504668501771479,NA,7.74161415288755
"16.1.3_20230124","16.1.3","16","1","3","20230124",2023-01-24,30.1745906773312,72.1908513856129,0.683844590017665,1.63792505752069,NA,0.170427312119845,14.9484629518726,"good","good",30.1745906773312,72.2097231175226,0.683844590017665,5.08148023448512,1.63792505752069,NA,0.170427312119845,NA,14.9468579224794,0,1,0,1,1,30.1745906773312,72.2097231175226,0.683844590017665,5.08148023448512,1.63792505752069,NA,0.170427312119845,NA,14.9468579224794
"16.2.1_20221014","16.2.1","16","2","1","20221014",2022-10-14,5.62032874817295,19.7717958077692,-0.0334561080140412,0.176922083433006,NA,0.0312018704124912,2.6633891311702,"good","good",5.62032874817295,19.7717958077692,-0.0334561080140412,NA,0.176922083433006,NA,0.0312018704124912,NA,2.6633891311702,0,0,0,0,0,5.62032874817295,19.7717958077692,-0.0334561080140412,NA,0.176922083433006,NA,0.0312018704124912,NA,2.6633891311702
"17.1.1_20220712","17.1.1","17","1","1","20220712",2022-07-12,14.0632022933788,46.1384115792045,0.350508025544621,0.166247373752105,NA,0.0354379645425445,3.34796985507006,"good","good",14.0632022933788,46.1423266416925,0.350508025544621,3.88542272265683,0.166247373752105,NA,0.0354379645425445,NA,3.34784337731282,0,1,0,1,1,14.0632022933788,46.1423266416925,0.350508025544621,3.88542272265683,0.166247373752105,NA,0.0354379645425445,NA,3.34784337731282
"17.1.1_20230124","17.1.1","17","1","1","20230124",2023-01-24,21.0313500579514,45.9624052824028,0.543418219440832,0.76154434391898,NA,0.0851094328458701,10.5177181200858,"good","good",21.7511482311473,794074.922048341,0.629410549585587,3.57771881564752,0.688193483490271,NA,0.0855243775903334,NA,6.87108630491207,1,1,1,2,0,21.0313500579514,45.9624052824028,0.543418219440832,NA,0.76154434391898,NA,0.0851094328458701,NA,10.5177181200858
"17.1.2_20220712","17.1.2","17","1","2","20220712",2022-07-12,27.1303733887262,69.2547070868938,0.0140767470484408,0.390716495788349,NA,0.0488571780861561,7.52143974224623,"good","good",26.832054858772,71.3157723700849,-0.0280639887031291,5.43769506206943,0.375305878019122,NA,0.050498261432111,NA,5.40235819483341,1,1,0,2,2,26.832054858772,71.3157723700849,-0.0280639887031291,5.43769506206943,0.375305878019122,NA,0.050498261432111,NA,5.40235819483341
"17.1.2_20221006","17.1.2","17","1","2","20221006",2022-10-06,13.4528894147497,39.6813657978191,-0.687663199890259,0.327276489182258,NA,0.0416568627296373,4.81475508241952,"good","good",13.4528894147497,39.7068301052996,-0.687663199890259,3.16343513357879,0.327276489182258,NA,0.0416568627296373,NA,4.81079469553424,0,1,0,1,1,13.4528894147497,39.7068301052996,-0.687663199890259,3.16343513357879,0.327276489182258,NA,0.0416568627296373,NA,4.81079469553424
"17.1.2_20230124","17.1.2","17","1","2","20230124",2023-01-24,29.5190821790645,70.4172149472145,1.24060169946012,0.704534520391478,NA,0.0753427632361102,14.8788859100438,"good","good",29.6820082901395,73.7566737492611,1.26231871888374,5.30831379956484,0.595921041207785,NA,0.0707024351102523,NA,9.70163694960045,1,1,0,2,2,29.6820082901395,73.7566737492611,1.26231871888374,5.30831379956484,0.595921041207785,NA,0.0707024351102523,NA,9.70163694960045
"17.1.3_20221006","17.1.3","17","1","3","20221006",2022-10-06,42.2739073583342,133.561202053176,-0.363784180655812,0.661453201280771,NA,0.0834707745475981,11.8948224536319,"good","good",42.2739073583342,133.561202053176,-0.363784180655812,NA,0.661453201280771,NA,0.0834707745475981,NA,11.8948224536319,0,0,0,0,0,42.2739073583342,133.561202053176,-0.363784180655812,NA,0.661453201280771,NA,0.0834707745475981,NA,11.8948224536319
"17.1.3_20230124","17.1.3","17","1","3","20230124",2023-01-24,26.3641634133207,53.9457811909707,0.690031472853317,1.06696736530617,NA,0.0827599043437253,17.2155445473501,"good","good",28.4528233788223,792225.150801637,0.8959623139793,3.86955984360828,0.835643673353682,NA,0.0868815988325678,NA,8.75498812874143,1,1,1,2,0,26.3641634133207,53.9457811909707,0.690031472853317,NA,1.06696736530617,NA,0.0827599043437253,NA,17.2155445473501
