"SampleID","leaf_code","tree","cohort","leaf","obs_date","date","Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","RMSE","Vcmax_QC","Jmax_QC"
"2.1.1_20221128","2.1.1","2","1","1","20221128",2022-11-28,43.5370819214701,209.070310616829,1.24232042461233,1.04880307988239,NA,0.17370326620867,24.3780731518946,"good","good"
"2.1.2_20220627","2.1.2","2","1","2","20220627",2022-06-27,24.7657924141455,60.5014788887127,-0.148156368385981,0.353727932722843,NA,0.0648778835722376,4.84564534305949,"good","good"
"2.1.2_20220725","2.1.2","2","1","2","20220725",2022-07-25,18.7862298479422,68.1327998528294,0.728568768488917,0.615778502544568,NA,0.11106208238282,9.51640552066832,"good","good"
"2.1.2_20221128","2.1.2","2","1","2","20221128",2022-11-28,60.3678583751311,218.950296234725,-3.52844017860853,1.00246508718035,NA,0.130723008558496,10.2317889350943,"good","good"
"20.1.1_20230117","20.1.1","20","1","1","20230117",2023-01-17,23.3574570522301,60.3239593404108,0.35017592677854,0.305983591537862,NA,0.0414450806406113,4.19809686470764,"good","good"
"20.1.2_20221010","20.1.2","20","1","2","20221010",2022-10-10,12.5082147078359,33.0186390451788,0.998449018895889,0.786745666482178,NA,0.0834717416661288,7.0920461340264,"good","good"
"20.1.2_20230117","20.1.2","20","1","2","20230117",2023-01-17,14.4761844778335,42.0949864416097,-0.803137761066625,0.576672481141665,NA,0.0838200192210317,11.0129414630992,"good","good"
"20.1.3_20221010","20.1.3","20","1","3","20221010",2022-10-10,13.0786368928192,35.2937282095693,1.34737046248117,0.871991511822925,NA,0.10891407328483,10.1238884330313,"good","good"
"20.2.1_20230117","20.2.1","20","2","1","20230117",2023-01-17,10.8603322809401,32.5906229375277,-0.231386666349216,0.234963099453676,NA,0.0382035238870282,3.64718068151778,"good","good"
"20.2.2_20221010","20.2.2","20","2","2","20221010",2022-10-10,32.7845210253096,78.8136480990677,0.687940181012025,1.08954264055228,NA,0.0801139155864846,11.298761242926,"good","good"
"21.1.1_20221010","21.1.1","21","1","1","20221010",2022-10-10,20.639250924991,38.8871079428455,1.86069390031787,19.0184985314642,NA,0.316827914533345,13.6819468937295,"bad","good"
"21.1.3_20230117","21.1.3","21","1","3","20230117",2023-01-17,43.6010581865602,37.0198048210661,0.533359277365214,39.8999050251595,NA,0.780587828341357,10.2991134899896,"bad","good"
"21.2.1_20221010","21.2.1","21","2","1","20221010",2022-10-10,39.1094655143155,107.930388814325,0.200546031135885,0.528918587435281,NA,0.0624689852585699,9.83993058066476,"good","good"
"21.2.1_20230117","21.2.1","21","2","1","20230117",2023-01-17,17.6180379457696,29.2189790503929,0.329614646935213,0.426095247511768,NA,0.0319529582949971,3.83403569700764,"good","good"
"21.2.2_20221010","21.2.2","21","2","2","20221010",2022-10-10,37.8904293268073,105.720764043951,1.18956237477278,0.752659065244444,NA,0.0888327821934292,9.31550536909495,"good","good"
"21.2.2_20230117","21.2.2","21","2","2","20230117",2023-01-17,14.5162006414979,35.2853859641133,0.298229398570809,0.298621508715655,NA,0.0441551726634481,3.7926105950965,"good","good"
"22.1.1_20220718","22.1.1","22","1","1","20220718",2022-07-18,9.3221623709335,33.5285954470699,1.21504903767484,0.182042170641105,NA,0.0379433808837412,2.63204820270097,"good","good"
"22.1.1_20221205","22.1.1","22","1","1","20221205",2022-12-05,43.5497003226734,121.344504724182,-4.14099346810998,1.53927083065178,NA,0.187157286775874,15.7729292213049,"good","good"
"22.1.1_20230306","22.1.1","22","1","1","20230306",2023-03-06,12.5588589851328,37.9343239435714,-3.79966467929165,0.569905852118207,NA,0.113571416415129,9.13100386352954,"good","good"
"22.1.2_20220718","22.1.2","22","1","2","20220718",2022-07-18,9.0198572219053,22.0697839807965,0.443504695420069,0.194480807345463,NA,0.0251792357765505,2.56510818754304,"good","good"
"22.1.2_20230306","22.1.2","22","1","2","20230306",2023-03-06,10.9976983293611,31.8509881106155,0.220144681508893,0.204282378328369,NA,0.0348682423414607,3.23640194714158,"good","good"
"22.1.3_20221012","22.1.3","22","1","3","20221012",2022-10-12,76.3985358055734,338.828123440089,1.28263903400318,1.24651882740869,NA,0.122930881464346,12.6172000156643,"good","good"
"22.1.3_20221205","22.1.3","22","1","3","20221205",2022-12-05,58.6863357879384,138.326336438528,0.534885226232285,1.18122988961482,NA,0.0951223539986134,8.12903602836506,"good","good"
"22.2.1_20221205","22.2.1","22","2","1","20221205",2022-12-05,80.3853166437326,255.263144244881,-0.907370147407715,1.02900025716435,NA,0.101254777377411,38.369463064471,"good","good"
"22.2.1_20230306","22.2.1","22","2","1","20230306",2023-03-06,12.4253065708769,37.937400860835,-0.577223821234746,0.251506889448966,NA,0.0443415276891184,4.33281634377513,"good","good"
"22.2.2_20220718","22.2.2","22","2","2","20220718",2022-07-18,21.6489812720028,53.7000437974048,0.664307740750084,0.384401106945608,NA,0.0475089650032593,3.60206776219432,"good","good"
"22.2.2_20221205","22.2.2","22","2","2","20221205",2022-12-05,61.5252764703203,169.561346025782,-2.68050296810831,2.14357348001419,NA,0.198087346678617,16.0390574589024,"good","good"
"22.2.2_20230306","22.2.2","22","2","2","20230306",2023-03-06,21.7760134125917,57.5010817801249,0.0311662194927661,0.264987515320257,NA,0.0349433011012776,2.9715970389056,"good","good"
