"filename","SampleID","leaf_code","tree","cohort","leaf","date","obs","A","Ci","CO2_s","CO2_r","gsw","Pa","Qin","RHcham","Tleaf","SampleID_num"
"ACi_19.1.2_20230216.xlsx","19.1.2_20230216","19.1.2","19","1","2","20230216",64,6.10576349753047,222.63100529021,398.897,414.513,0.058614283190055,100.987,1200.00142857143,69.7641429385714,32.8593857142857,72
"ACi_19.1.3_20230216.xlsx","19.1.3_20230216","19.1.3","19","1","3","20230216",64,3.88762617765177,224.783816227243,400.268142857143,413.946428571429,0.0374841535590259,100.923428571429,1199.99571428571,70.5548924140695,33.7081142857143,73
"ACi_19.2.2_20221130.xlsx","19.2.2_20221130","19.2.2","19","2","2","20221130",64,12.2504285086103,312.06716051352,398.411142857143,413.935571428572,0.259993891547869,100.721,1200.07,69.8360112126384,33.2750714285714,74
"ACi_2.1.1_20221008.xlsx","2.1.1_20221008","2.1.1","2","1","1","20221008",64.5,13.1310339500217,275.64433226405,400.809276785714,416.2815625,0.18502961635062,100.801535714286,1200.00223214286,67.7361885403153,31.5158660714286,75
"ACi_2.1.1_20221128.xlsx","2.1.1_20221128","2.1.1","2","1","1","20221128",91.5,9.50230403356731,271.235354712725,400.008142857143,414.005285714286,0.13122065560713,100.786285714286,1200,69.808167456848,35.4421142857143,76
"ACi_2.1.2_20220627.xlsx","2.1.2_20220627","2.1.2","2","1","2","20220627",64,8.26397907950145,301.504182361373,400.593375,416.074125,0.146664528928481,100.911375,1200.0525,70.8347645285533,29.806425,77
"ACi_2.1.2_20220725.xlsx","2.1.2_20220725","2.1.2","2","1","2","20220725",63.5,4.54251870012451,272.616714342001,391.768,413.150803571429,0.0672218994910913,101.17525,1199.96883928571,67.5728425877005,33.97374375,78
"ACi_2.1.2_20221128.xlsx","2.1.2_20221128","2.1.2","2","1","2","20221128",64,21.3308293547381,273.642768626213,394.1215,413.319,0.31845765279252,100.74125,1200.01,70.0399300275408,33.7045375,79
"ACi_20.1.1_20230117.xlsx","20.1.1_20230117","20.1.1","20","1","1","20230117",64.5,7.29598870876694,288.873333844242,399.334580357143,416.487169642857,0.117386088025288,101.127964285714,1199.98955357143,66.7872793824437,32.5650741071429,80
"ACi_20.1.2_20221010.xlsx","20.1.2_20221010","20.1.2","20","1","2","20221010",64,2.3689091802458,302.890907462663,402.754714285714,413.831285714286,0.0424447388131157,101.263714285714,1199.98428571429,69.6244664612412,34.5232714285714,81
"ACi_20.1.2_20230117.xlsx","20.1.2_20230117","20.1.2","20","1","2","20230117",64.5,3.31985717239485,202.718258370273,403.722910714286,416.691571428571,0.0277624546773355,101.072348214286,1199.97482142857,66.7615816273247,33.7060848214286,82
